,Grievance,label,encoding
0,"My passport application has been pending for over three months, and I have an urgent need to travel for a family emergency.",foreign_ministry,"[-0.0592076  -0.08651191  0.2380215  -0.0291435   0.12400154  0.1348278
 -0.23299901  0.42083701  0.06708561  0.01790501  0.04703379  0.07898229
  0.20935102  0.2006092  -0.04672151 -0.16981159  0.22127374  0.09512107
 -0.2912475   0.1114728  -0.21788609 -0.1269789   0.1728616   0.30507955
  0.0815272  -0.1774821   0.07350001 -0.413445   -0.09120151  0.0796819
 -0.0681458   0.15893899 -0.24634     0.07643611  0.02882589  0.449852
  0.0710917  -0.0539907  -0.04364104  0.02522792 -0.521658   -0.2731829
  0.56512046 -0.43065944  0.07862981  0.0328979  -0.10062462 -0.14309071
  0.166999   -0.44916672  0.3454998  -0.10947599  0.20323026  0.794272
  0.0053078  -1.5401905   0.0163311  -0.43596584  1.86723     0.5267387
 -0.15958203  0.39608702 -0.10698501 -0.2570583   0.6786782   0.13641399
 -0.256068    0.19694331  0.09937792 -0.1767036  -0.32318398 -0.21189447
 -0.2152931  -0.3755292   0.409499    0.4548266  -0.2204288  -0.00689411
 -0.965182   -0.23369348  0.719737   -0.1271112  -0.00793491  0.0904623
 -1.171078    0.0799803   0.38000202 -0.055475   -0.2982302  -0.30860138
  0.08469181  0.1338483   0.0446027  -0.2641769  -0.271234    0.23989299
  0.14086299  0.00616349  0.50876606 -0.15295   ]"
1,"I encountered significant delays and confusion at the airport immigration, leading to missed connections and additional expenses.",foreign_ministry,"[-1.4484638e-01 -1.7247619e-01  2.5483772e-01 -1.5562009e-02
  1.3829282e-01 -2.2835821e-02 -2.8885883e-01  1.4283091e-01
  1.5687400e-01 -2.6916547e-02 -7.7378899e-02  3.2079395e-02
 -1.2120254e-01 -3.2558177e-02  1.2079792e-01 -3.2154977e-01
 -9.2500359e-02 -2.1066546e-02 -1.0666572e-01  2.4031073e-01
  9.6834272e-02 -1.8274654e-01  1.0219092e-02  5.5336411e-04
 -9.5474273e-02 -2.4347092e-01  8.6079277e-02 -3.2783616e-01
  1.4452364e-01 -2.7239475e-01 -2.0315693e-01  1.3527468e-01
  4.1528359e-02 -7.0625268e-02 -1.7979979e-03 -9.6451648e-02
  1.4898954e-01  9.0337820e-02 -4.5860909e-02  2.4409603e-01
 -4.1168404e-01 -4.0027902e-01  2.7448538e-01 -1.2314274e-01
  1.7800938e-01 -7.0120923e-02  4.1075394e-01 -1.6448961e-01
  1.8849544e-02 -4.2830917e-01  3.0332029e-01  1.9879546e-02
 -7.0163004e-02  6.6948277e-01  2.2154617e-01 -1.7309254e+00
  7.8071266e-02 -2.7189600e-01  1.2351109e+00  2.8609359e-01
 -4.1596326e-01  3.5736135e-01  7.0103541e-02 -3.0355280e-02
  5.6118000e-01 -1.8128100e-01  2.4840819e-02 -3.8981222e-02
  2.5905916e-01 -4.5077275e-02 -2.9364699e-01 -1.0955453e-01
 -5.9218343e-02 -2.3537773e-01  3.4870273e-01  1.1253819e-01
  1.1692554e-02 -2.1704760e-01 -5.5231971e-01  3.4708345e-01
  3.9976779e-01 -1.9412543e-01  1.0933900e-01 -5.0397273e-02
 -1.3147264e+00 -1.0427951e-01  1.1925730e-01  8.6973608e-02
 -2.2648974e-01 -2.1616472e-01 -1.9359976e-01 -2.6347637e-02
 -1.6776711e-01 -1.8205272e-01 -2.0339337e-01  8.5503049e-02
  2.8618109e-01 -1.0770898e-03  4.3480188e-01 -6.4613536e-02]"
2,"The visa processing system is unclear and convoluted, making it challenging to understand the requirements and procedures.",foreign_ministry,"[-0.0611833  -0.07907821  0.3026407  -0.08035772 -0.15892002 -0.23380288
 -0.2926578   0.226578    0.17171332  0.20695    -0.04589909  0.10716101
  0.23526831 -0.15886611 -0.17538014 -0.247595    0.13670039  0.2809518
 -0.22477451  0.024356   -0.4341804  -0.29074484  0.18731558 -0.0724854
 -0.1650029  -0.16633366  0.03866538 -0.636393   -0.0723505  -0.17839259
 -0.0895361   0.55713433 -0.16095921 -0.18041101  0.1585983   0.0615429
  0.0682955  -0.1318047  -0.1363748  -0.34865677 -0.545509   -0.28776067
  0.1974124  -0.1779836  -0.35060778 -0.20962706  0.2145334  -0.0959095
 -0.301161   -0.5196413   0.39295238  0.03356288 -0.11796349  0.87242
  0.12605551 -1.3166931   0.20786539 -0.22501902  1.53279     0.2412196
 -0.25417823  0.11944892 -0.018934   -0.0249154   0.663609   -0.0101156
 -0.22891799  0.138968   -0.0206155  -0.36748952 -0.1787698  -0.30710012
 -0.12451561 -0.186217    0.2452956   0.10806241 -0.14313391  0.00960188
 -0.66052306 -0.23500979  0.59948903 -0.21463032 -0.27346712  0.12461951
 -1.4749401   0.30911732  0.20293498 -0.10825987 -0.32316798 -0.20328481
 -0.16701964  0.10599689 -0.20747237 -0.07307     0.132432    0.1966739
 -0.0553518  -0.2345011   0.3445986   0.2524092 ]"
3,"I have not received any updates on the status of my visa application, causing anxiety and uncertainty about my travel plans.",foreign_ministry,"[-0.14462093 -0.05560477  0.33868107  0.0778121  -0.0036408  -0.1116276
 -0.32964373  0.03411002  0.28821704  0.0690242  -0.32501167  0.16861501
  0.210676   -0.29255942  0.13958995 -0.1598104   0.20669599 -0.025928
 -0.11603651  0.03820402 -0.40797368 -0.295601   -0.07104699  0.41537738
 -0.08690933 -0.18561718  0.2538132  -0.40682992 -0.0573814  -0.27053016
 -0.0561119   0.515027   -0.36517942  0.08151329 -0.07221851  0.3077374
  0.1953277   0.02141672 -0.19498575 -0.1251471  -0.517892   -0.18614629
  0.2038385  -0.41517836  0.15472981 -0.2274507   0.10486908 -0.0244634
  0.05470981 -0.5943593   0.4091702   0.07837518 -0.10262535  0.69469696
  0.12623581 -1.533225    0.3536946  -0.30978665  1.543741    0.28664032
 -0.1084852   0.3570884  -0.1104103  -0.2510513   0.69301     0.0829608
 -0.1372239  -0.06262041  0.3021986  -0.3592862  -0.25322455 -0.28036022
 -0.379953   -0.23526831  0.23577766  0.40972123 -0.01553001 -0.08315861
 -0.74839    -0.28513458  0.4978786  -0.3351857  -0.1740412  -0.07113897
 -1.0771201   0.14640622  0.16876659 -0.1762208  -0.1232085  -0.2578291
 -0.21837609  0.17315468  0.02871581 -0.283269    0.04788462  0.33360788
  0.421776   -0.04572859  0.39502013 -0.0136625 ]"
4,"The embassy's website is outdated and lacks essential information, making it difficult for applicants to find necessary details.",foreign_ministry,"[-2.55519331e-01  7.16587529e-02  2.77001351e-01  2.41955239e-02
 -1.24580413e-01 -1.49594754e-01 -4.49845821e-01  5.04904091e-02
  4.44770247e-01  2.15909183e-01  2.50741243e-01 -1.48199173e-02
  2.00503647e-01 -4.42903340e-02 -9.93876234e-02 -7.25333318e-02
  2.52668321e-01  4.11655866e-02 -2.92202979e-01  2.75420427e-01
 -1.60966486e-01 -1.56525180e-01  1.73473120e-01 -2.39952162e-01
 -2.69463241e-01 -3.49945575e-01  1.13863759e-01 -2.93049067e-01
 -1.14862747e-01 -9.69426632e-02 -7.40062445e-02  2.75502115e-01
 -3.56158763e-01 -5.66985011e-02  9.83909965e-02  2.02278569e-01
 -1.84284672e-01  3.49082574e-02 -1.91863239e-01 -7.75975809e-02
 -3.21383417e-01 -6.24502115e-02  3.66220810e-02 -9.99354944e-02
 -1.36388570e-01 -1.89106882e-01  7.75588036e-04 -5.18472604e-02
 -1.77762747e-01 -5.90293825e-01  5.92150867e-01  3.40713151e-02
 -6.05245642e-02  8.94194186e-01  1.39428340e-02 -1.52803910e+00
  1.20352171e-01 -3.55556101e-01  1.59550083e+00  9.93627384e-02
 -4.41757470e-01  3.86559725e-01 -1.48006752e-01 -4.97276597e-02
  7.64049530e-01 -1.93145990e-01  2.16013506e-01  1.13969021e-01
  1.98045149e-01 -3.59809279e-01 -7.19257519e-02 -2.14828253e-01
  8.97132233e-02 -3.54076058e-01  5.05959213e-01  3.35960180e-01
 -4.25631516e-02  6.03109300e-02 -6.82824910e-01 -1.02216311e-01
  4.72443908e-01  2.53424197e-02 -3.32141846e-01 -7.41500780e-02
 -1.38348055e+00  2.93606296e-02  3.77135754e-01  1.73046887e-01
 -5.11660278e-01 -1.16274066e-01  4.28937487e-02  6.44909078e-03
  9.59688351e-02 -1.30301312e-01 -1.96303770e-01  1.19590200e-04
 -1.63773164e-01 -4.16680425e-01  3.00355792e-01  4.43947762e-01]"
5,"The staff at the consular section were unhelpful and provided conflicting information, resulting in a frustrating experience.",foreign_ministry,"[-2.28896618e-01  7.84108043e-02  2.34358788e-01  1.59166008e-01
 -1.10347509e-01 -5.06794043e-02 -2.78218925e-01  1.10280048e-02
  1.70432240e-01  4.94844019e-02  6.71909004e-02 -2.69339591e-01
  3.29921424e-01 -4.54187999e-03 -6.68624882e-03 -2.69676000e-02
 -5.50711378e-02 -1.83911473e-01 -4.20372009e-01  1.16470002e-01
  1.01759955e-02 -1.68401301e-01  1.90803498e-01 -1.66597009e-01
 -2.09206671e-01 -2.52431005e-01  5.96929975e-02 -2.19249770e-01
 -3.89301771e-04 -2.09956601e-01 -1.18991472e-01  2.79413193e-01
 -2.52043605e-01 -9.39678028e-02 -1.59881502e-01  1.09067596e-01
 -6.24019988e-02  1.05593704e-01 -1.58196062e-01  2.20626052e-02
 -2.84055501e-01 -1.00392804e-01  3.37951854e-02 -2.35651284e-01
  2.29251504e-01 -6.58361986e-02  1.60987303e-01 -1.61688998e-01
 -3.64075974e-02 -4.45274770e-01  4.15337741e-01  7.47278035e-02
 -1.62990525e-01  6.87778354e-01  1.36628717e-01 -1.25077462e+00
  2.86051661e-01 -5.35411835e-01  1.32083499e+00  2.00470015e-01
 -3.91891539e-01  2.87937999e-01  6.47139782e-03 -1.46434188e-01
  5.59523284e-01 -2.58517802e-01  1.97174996e-01  2.55568981e-01
  3.75902057e-01 -3.56650949e-02 -2.96855029e-02 -3.08932960e-01
  1.77989870e-01 -4.99385417e-01  4.31313097e-01  1.90605909e-01
  4.26404588e-02  3.03329706e-01 -6.67262793e-01 -1.41745031e-01
  2.85362065e-01  1.57012299e-01 -8.28997195e-02  1.05098009e-01
 -1.22875297e+00  1.61399588e-01  1.94657773e-01  1.02485873e-01
 -1.35482401e-01 -2.95135975e-01 -8.32015947e-02  2.48550009e-02
 -9.09800548e-03 -9.84539017e-02  1.13265082e-01  1.45856500e-01
  5.40869543e-03 -1.95437998e-01  1.77173376e-01  3.77418011e-01]"
6,"Despite submitting all required documents, my visa application was rejected without clear reasons or an opportunity for clarification.",foreign_ministry,"[ 4.00808314e-03 -1.29320836e-02  2.87919253e-01  1.64838091e-01
  1.09994322e-01  2.07326766e-02 -3.52693170e-01  2.14842096e-01
  3.42067689e-01  2.62699998e-03 -3.09190005e-02  4.97525893e-02
  6.98549971e-02 -2.08652735e-01  3.37606631e-02 -1.11460574e-01
  1.01560652e-01  1.99042916e-01 -3.26099664e-01  1.03604503e-01
 -4.24985647e-01 -2.02386022e-01 -1.79518238e-01  2.10280064e-02
 -1.24327995e-01 -1.50799304e-01  1.95119575e-01 -4.21236545e-01
  4.06459123e-02 -2.71669388e-01  6.36823475e-02  3.51017803e-01
 -3.21474075e-01 -7.16423765e-02  1.45989075e-01  2.17078969e-01
  9.84920040e-02 -2.59512514e-01 -3.22169721e-01 -1.79134324e-01
 -6.10736370e-01 -3.72239202e-02  4.28393483e-01 -2.34536931e-01
 -2.00706407e-01 -3.50503325e-01  1.42020419e-01 -1.28069416e-01
 -1.51071176e-01 -6.47321939e-01  5.82419157e-01  1.13189988e-01
 -1.29662529e-02  7.35840857e-01  2.66708923e-03 -1.40039349e+00
  2.49585152e-01 -3.81207258e-01  1.58782339e+00  8.08387995e-06
 -2.44524240e-01  4.58184145e-02 -3.27458769e-01 -1.18561327e-01
  8.08445752e-01 -1.54060841e-01  2.67341733e-03  4.21837568e-01
 -2.87887007e-01 -4.61673826e-01 -2.53724992e-01 -1.57533344e-02
 -6.05505966e-02 -5.67460835e-01  4.66978736e-02  3.45519662e-01
 -3.19709331e-01 -1.55734077e-01 -8.65179241e-01 -2.59824634e-01
  4.71209168e-01 -3.19360256e-01 -1.90575302e-01 -3.75605784e-02
 -1.12699330e+00 -3.42390873e-02  4.82753366e-01  2.23916620e-02
 -1.66740313e-01 -1.72911838e-01 -1.27952009e-01 -1.01789087e-01
 -2.54524589e-01 -1.93160832e-01 -1.02061629e-02  1.19455256e-01
 -9.28405896e-02 -1.19251072e-01  2.94844985e-01  2.41410986e-01]"
7,"I faced discrimination and bias during my visa interview, impacting the fairness and transparency of the application process.",foreign_ministry,"[ 0.02204741 -0.12882832  0.1626284  -0.05746711 -0.09640239 -0.03299021
 -0.41565877  0.11818801  0.0402486   0.25417355 -0.30878732  0.23423763
  0.2373014  -0.26528913  0.05509422  0.06391009 -0.0134435   0.07319299
 -0.17518671 -0.0406023  -0.42818022 -0.20691052  0.10807381  0.09104638
  0.1793839   0.02379683  0.4611331  -0.49526897 -0.296678   -0.23220113
  0.12566808  0.5096518  -0.2188584   0.13582972  0.05812145 -0.1001869
  0.3280157   0.0744616  -0.20210715 -0.0938184  -0.7897399  -0.33524603
  0.0782869  -0.05058929 -0.4507536  -0.429468    0.3247493  -0.22153199
 -0.337339   -0.6698913   0.351176    0.0721288  -0.39796698  0.962979
 -0.1454865  -1.2031952   0.2919936  -0.29718024  1.4771199  -0.0399537
 -0.23474328 -0.117355   -0.32792512 -0.22800699  0.79832107 -0.10106319
  0.19408603 -0.04802739  0.08663498 -0.144088    0.0365819   0.09508319
 -0.12726459 -0.16316879  0.2610029   0.1928162  -0.14831659 -0.06494932
 -0.66675967 -0.1728647   0.48114604 -0.17630169  0.10304289  0.10347761
 -1.1703299  -0.09544798 -0.132563   -0.0424878  -0.16783379 -0.3954401
 -0.19039181 -0.2223109  -0.2341052   0.08444099  0.6182673   0.25809628
  0.16727869 -0.15426627  0.4945692   0.3420313 ]"
8,"The embassy's communication channels are ineffective, and my attempts to seek assistance via email and phone have gone unanswered.",foreign_ministry,"[-1.72370840e-02 -2.58333296e-01  1.05438828e-01 -9.80091691e-02
  2.60128766e-01  1.35043263e-01 -2.29575217e-01 -7.84123018e-02
  3.96303385e-01 -6.74440479e-03  2.41933480e-01  3.82154137e-02
  7.50049949e-03  2.02587470e-01  9.33649912e-02 -2.84120828e-01
 -3.71105783e-02 -8.58290866e-02 -4.34018016e-01  8.82259831e-02
 -2.26642489e-02  5.87835126e-02  3.18559855e-01  6.47928342e-02
 -2.08595917e-02 -5.86317517e-02  2.16605708e-01  2.60504395e-01
  1.69129908e-01  5.89358397e-02 -1.11617751e-01  5.48363388e-01
 -5.60524827e-03  7.17724189e-02  1.62155837e-01  2.22490847e-01
 -1.93503082e-01 -1.24701582e-01 -8.21183063e-03  7.26170465e-02
 -2.54110247e-01  1.48972543e-02 -1.51595488e-01 -1.36158034e-01
 -6.98729157e-02 -1.43098414e-01 -1.89577028e-01 -1.39158368e-02
  2.60876697e-02 -3.37098241e-01  1.39068916e-01  4.35858518e-01
  2.36748993e-01  6.16118610e-01  2.09136661e-02 -1.58314168e+00
 -1.49381757e-01 -4.10887808e-01  1.47223413e+00  2.35114172e-01
 -4.00010735e-01 -3.18403356e-02 -5.86991990e-03 -2.23819837e-01
  3.93673152e-01 -7.86514208e-02 -8.82425904e-02  8.99639204e-02
  2.15389147e-01 -4.49151210e-02 -2.48378590e-01 -3.64803940e-01
  2.29065821e-01 -7.38925874e-01  3.15729886e-01  3.22165847e-01
  6.14166670e-02  1.77099571e-01 -6.80925846e-01 -7.77690380e-04
  5.77399135e-01 -7.51849636e-02 -1.54055074e-01 -9.25691649e-02
 -1.31014228e+00  1.49256110e-01  4.18431401e-01  3.04854065e-01
 -2.65147656e-01 -3.20703417e-01  4.10847515e-02  3.27953339e-01
  8.56124833e-02 -3.39344926e-02 -1.21847488e-01  1.04824424e-01
  1.78672522e-02 -4.03296687e-02  2.90501595e-01  1.55972496e-01]"
9,"There is a lack of information on consular services for Nepali citizens abroad, making it challenging to access necessary assistance.",foreign_ministry,"[-0.17589118  0.15008451  0.198395    0.08005841  0.11789516 -0.1172714
 -0.59568727  0.11204749  0.20230733  0.016434    0.1291625  -0.09501959
  0.15879273  0.03216401 -0.15572046 -0.2759103   0.3837839  -0.00606732
 -0.56150335  0.20253849 -0.12269618 -0.03876025  0.24684416 -0.12753709
 -0.2954826  -0.18369056  0.2911726  -0.37244081  0.07241423 -0.1494127
  0.01764059  0.50264966 -0.3002316  -0.08246458  0.18480265  0.18628232
 -0.08982842  0.21434708 -0.19503124  0.00344384 -0.41117093 -0.09347367
  0.15896185 -0.18965857  0.20371918 -0.26769692  0.09018475 -0.22820134
 -0.04812549 -0.47246304  0.26504585  0.15680398 -0.06337333  0.78795725
  0.14330132 -1.2397166   0.1474076  -0.46418753  1.9151667   0.04717967
 -0.39772332  0.07111333 -0.19585323 -0.15817285  0.5320943  -0.04787375
 -0.09759667  0.1008837   0.53672534 -0.1791298  -0.0690075  -0.38633177
  0.04157741 -0.45139727  0.48533964  0.5283694  -0.1647218   0.2543951
 -0.7950525  -0.29908526  0.6881812   0.08023391 -0.00698542  0.04561217
 -1.3368673   0.17138457  0.27578     0.2493153  -0.15846609 -0.41165984
  0.07167955 -0.16925459  0.13102818 -0.23185934 -0.25073835  0.0494615
  0.15330209 -0.2052285   0.43646336  0.30365548]"
